Work Item Type,Title 1,Title 2,Title 3,Description,Area Path,Iteration Path
Feature,Identidade usuários,,,"Login, Criação de conta, alteração de perfil e cadastramento de Alimentadores automáticos",MonitorPet,MonitorPet\Identity User Sprint
Product Backlog Item,,Criar estrutura de projetos,,"Criar Core, Application, Core.Tests e Application.Test",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar Core de projeto,"Criar MonitorPet.Core, projeto não deve conter referências externas",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar Application do projeto,"Criar MonitorPet.Application, Application deve conter interface e implementações de serviços, relacionamentos com BD, Emails etc devem ser abstraídos. Projeto deve ter referência de somente o Core.",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar Testes para Core,Criar xunit para testes do projeto MonitorPet.Core. Projeto deve ter referência de somente o Core.,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar Testes para Application,Criar xunit para testes do projeto MonitorPet.Application. Porjeto deve ter referência de somente Application.,MonitorPet,MonitorPet\Identity User Sprint
Product Backlog Item,,Criar exceptions,,Criar exceptions CORE,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar Unauthorized,Não autorizado,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar Forbidden,Não permitido,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar CommonCore,Exception genérica,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar NotFound,Não encontrado,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar Conflic,"Falha por conta de conflito, normalmente ocasionado por dados duplicados.",MonitorPet,MonitorPet\Identity User Sprint
Product Backlog Item,,Criar entidades,,"Criar entidades para realizar o Login, necessita do Dosador, e do Usuário.",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar entidade Usuário,"Usuário deve conter Id, Login, Email, Nome, NickName, Phone, Password, PasswordHash, PasswordSalt, LockOut End, AccessAccountFailed",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar entidade UsuarioDosador,"Entidade contém Id, IdUsuario e IdDosador.",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar entidade Dosador,"Entidade dosador deve ter um usuário vinculado, sendo os campos, IdUsuario, IdDosador, Nome, PesoMax",MonitorPet,MonitorPet\Identity User Sprint
Product Backlog Item,,Criar Modelos,,Criar modelos de entidades,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar modelo Usuário,"Usuário deve conter Id, Login, Email, Nome, NickName, Phone, PasswordHash, Password Salt, LockOut End",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar modelo Dosador,"Entidade dosador deve ter um usuário vinculado, sendo os campos, IdUsuario, IdDosador, Nome, PesoMax",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar modelo de Novo Usuário,"Usuário deve conter Email, Nome, NickName, Phone, Password",MonitorPet,MonitorPet\Identity User Sprint
Product Backlog Item,,Criar interfaces de repositório,,Criar interfaces de repositórios para Dosador e Usuário,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar repositório Usuário,"Interface para CRUD, e deve conter update de somente senha, update de contagem de falha, coleta por email.",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar modelo Dosador,"Interface para CRUD, coletar por dosador e usuário, e coleta por idusuário",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar repositório Usuário Dosador,Interface para CRUD,MonitorPet,MonitorPet\Identity User Sprint
Product Backlog Item,,Criar serviços,,Serviço de gerenciamentos do usuário e relacionamentos com dosador.,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar contexto de segurança,Criar context para métodos de checagem de usuário atual,MonitorPet,MonitorPet\Identity User Sprint
Task,,,User service,"Serviço deve conter operações básicas de para Login, gerenciamento usuários, Criação usuários e gerenciamento dosadores",MonitorPet,MonitorPet\Identity User Sprint
Product Backlog Item,,Testes Core,,Testes de entidade,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar teste entidade Usuário,"Criar teste entidade Usuário, métodos equals e de criação",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar teste entidade UsuarioDosador,"Criar teste entidade UsuarioDosador, métodos equals e de criação",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar teste entidade Dosador,"Criar teste entidade Dosador, métodos equals e de criação",MonitorPet,MonitorPet\Identity User Sprint
Product Backlog Item,,Testes Application,,,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Adicionar referencias,"Adicionar seguintes refAdicionar seguintes referencias para o teste:
<PackageReference Include=""Microsoft.EntityFrameworkCore.InMemory"" Version=""6.0.13"" />
<PackageReference Include=""Microsoft.Extensions.Hosting"" Version=""6.0.1"" />
<PackageReference Include=""AutoMapper"" Version=""12.0.1"" />
<PackageReference Include=""AutoMapper.Extensions.Microsoft.DependencyInjection"" Version=""12.0.0"" />
<PackageReference Include=""Microsoft.Extensions.DependencyInjection.Abstractions"" Version=""6.0.0"" />",MonitorPet,MonitorPet\Identity User Sprint
Task,,,Criar base de testes,Base de teste,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Implementar contexto,Contexto,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Implementar repositorios,Implementar repositórios criados,MonitorPet,MonitorPet\Identity User Sprint
Task,,,Realizar testes de UserService,Realizar testes de todos métodos,MonitorPet,MonitorPet\Identity User Sprint
